Anno,Coefficiente
1861,9328.543
1862,9272.006
1863,9549.819
1864,9819.519
1865,9986.168
1866,9882.952
1867,9646.160
1868,9272.006
1869,9216.151
1870,9084.804
1871,8812.678
1872,7797.559
1873,7355.197
1874,7182.540
1875,8387.505
1876,7926.844
1877,7618.929
1878,7910.450
1879,8009.848
1880,7726.672
1881,8260.696
1882,8461.731
1883,8742.177
1884,8915.390
1885,8722.241
1886,8732.197
1887,8752.180
1888,8643.395
1889,8499.339
1890,8207.516
1891,8234.020
1892,8305.543
1893,8489.906
1894,8527.765
1895,8575.566
1896,8614.195
1897,8633.640
1898,8575.566
1899,8712.306
1900,8672.795
1901,8662.973
1902,8722.241
1903,8471.102
1904,8369.152
1905,8360.005
1906,8207.516
1907,7837.505
1908,7918.639
1909,8146.331
1910,7926.844
1911,7734.484
1912,7664.734
1913,7649.405
1914,7649.405
1915,7148.977
1916,5712.774
1917,4038.757
1918,2896.405
1919,2853.191
1920,2171.276
1921,1835.270
1922,1846.344
1923,1857.102
1924,1793.950
1925,1596.953
1926,1480.434
1927,1619.264
1928,1747.237
1929,1719.740
1930,1776.040
1931,1965.923
1932,2018.845
1933,2145.696
1934,2262.468
1935,2230.798
1936,2074.134
1937,1894.824
1938,1759.697
1939,1685.262
1940,1444.101
1941,1248.067
1942,1079.814
1943,643.889
1944,144.892
1945,73.566
1946,62.334
1947,38.464
1948,36.328
1949,35.802
1950,36.291
1951,33.077
1952,31.729
1953,31.125
1954,30.309
1955,29.483
1956,28.085
1957,27.552
1958,26.294
1959,26.402
1960,25.720
1961,24.990
1962,23.777
1963,22.115
1964,20.877
1965,20.008
1966,19.615
1967,19.231
1968,18.989
1969,18.470
1970,17.576
1971,16.739
1972,15.849
1973,14.360
1974,12.022
1975,10.261
1976,8.806
1977,7.456
1978,6.631
1979,5.729
1980,4.729
1981,3.984
1982,3.424
1983,2.978
1984,2.693
1985,2.480
1986,2.337
1987,2.234
1988,2.129
1989,1.997
1990,1.882
1991,1.769
1992,1.678
1993,1.610
1994,1.549
1995,1.470
1996,1.415
1997,1.391
1998,1.367
1999,1.345
2000,1.312
2001,1.278
2002,1.247
2003,1.217
2004,1.194
2005,1.174
2006,1.151
2007,1.131
2008,1.096
2009,1.088
2010,1.071
2011,1.043
2012,1.012
2013,1.001
2014,0.999
2015,1.000